appeal_agency,exempt,id,jurisdiction,name,parent,requires_proxy,slug,status,types
,False,23746,1,"Office Of Emergency Medical Services, Department Of Public Health",,False,office-of-emergency-medical-services-department-of-public-health,approved,[]
,False,38581,126,Beaver County District Attorney,,False,beaver-county-district-attorney,approved,[]
,False,6138,10,"Immigration and Customs Enforcement, National Intellectual Property Rights Coordination Center",,False,immigration-and-customs-enforcement-national-intellectual-property-rights-coordination-center,approved,[]
,False,23777,10,U.s. Army Chemical Materials Agency,,False,us-army-chemical-materials-agency,approved,[]
,False,37441,168,West Suburban Consolidated Dispatch Center In River Forest,,False,west-suburban-consolidated-dispatch-center-in-river-forest,approved,[]
,False,23769,91,L.a. Care Health Plan,,False,la-care-health-plan,approved,[]
,False,38580,27548,City of Butler Police Department,,False,butler-city-police-department,approved,[]
,False,23790,30770,County Clerk,,False,county-clerk,approved,[]
,False,5668,7318,Miami-Dade County Public Works and Waste Management,,False,public-works-and-waste-management,approved,[]
,False,23793,104,City Of Fort Lauderdale Sustainable Development,,False,city-of-fort-lauderadale-sustainable-development,approved,[]
,False,23648,69,Office Of The Waterfront And Civic Projects,,False,office-of-the-waterfront-and-civic-projects,approved,[]
,False,23755,209,Louisville Metro Government FOIA,,False,louisville-metro-government,approved,[]
,False,4583,33641,Office of the Governor of the U.S. Virgin Islands,,False,office-governor-us-virgin-islands,approved,[]
,False,279,78,University of Arizona,,False,university-of-arizona,approved,College or University
,False,11171,3038,Glenn County Sheriff,,False,glenn-county,approved,[]
,False,42593,32160,Windsor Heights Town Clerk,,False,windsor-heights-town-clerk,approved,[]
,False,6346,73,Department of Adult and Juvenile Detention,,False,department-of-adult-and-juvenile-detention,approved,[]
,False,42913,54,Washington State Bar Association,,False,washington-state-bar-association,approved,[]
,False,43022,300,"Nebraska Legislature, Office Of Senator Brian Hardin",,False,nebraska-legislature-office-of-senator-brian-hardin,approved,[]
,False,23665,7818,Forest Park Police Department,,False,forest-park-police-department,approved,[]
,False,5805,3,KIPP Academy Boston Elementary and Middle Schools,,False,kipp-academy-boston-elementary-and-middle-schools,approved,[]
,False,4288,104,Office of the Mayor & City Commission - Fort Lauderdale,,False,office-mayor-city-commission-fort-lauderdale,approved,[]
7822,False,83,10,Department of Treasury,,False,department-of-treasury,approved,[]
,False,6235,10,U.S. Marine Corps Entertainment Media Liaison Office,,False,us-marine-corps-motion-picture-tv-liaison-office,approved,[]
,False,23597,4033,Information Services,,False,information-services,approved,[]
,False,23649,258,Department Of Public Works,,False,department-of-public-works,approved,[]
,False,23810,10,Bureau Of Indian Education,,False,bureau-of-indian-education,approved,[]
,False,5086,10,U.S. Army - Fort Stewart - Third Infantry Division,,False,us-army-fort-stewart-third-infantry-division,approved,Military
,False,11393,29,Sullivan County Sheriff,,False,sullivan-county-sheriff,approved,[]
,False,6159,7349,Washington County District Attorney's Office,,False,washington-county-district-attorneys-office,approved,[]
,False,23747,25142,Clermont County Sheriff,,False,clermont-county-sheri,approved,[]
6565,False,14,10,U.S. Department of State,,False,department-of-state,approved,[]
,False,37,10,John F. Kennedy Presidential Library & Museum,,False,john-f-kennedy-presidential-library-museum,approved,Library
,False,23761,97,Dmhas,,False,dmhas,approved,[]
,False,23762,5529,"Department of Mental Health and Addiction Services, Middletown Ct",,False,dmhas-middletown-ct,approved,[]
,False,5557,16,New York State Commission on Judicial Conduct,,False,new-york-state-commission-on-judicial-conduct,approved,[]
,False,23791,209,"Fbi Louisville, Ky Field Office",,False,fbi-louisville-ky-field-office,approved,[]
,False,23735,365,Cook County Department Of Public Health,,False,cook-county-department-of-public-health,approved,[]
,False,5578,235,"Department of Commerce, Community and Economic Development",,False,department-of-commerce-community-and-economic-development,approved,[]
,False,23799,8585,Calumet County Sheriff's Department,,False,calumet-county-sheriffs-department,approved,[]
,False,6221,8893,Town Manager,,False,town-manager,approved,[]
,False,6222,2883,Finance Department,,False,finance-department,approved,[]
,False,23803,154,"District Court of Maryland, Carroll County",,False,district-court-westminster,approved,[]
,False,23666,8143,Melrose Park Police Department,,False,melrose-park-police-department,approved,[]
,False,17711,297,Suffolk County Water Authority,,False,suffolk-county-water-authority,approved,[]
,False,23825,206,Akron Public Schools,,False,akron-public-schools,approved,[]
,False,38578,8732,Marion Police Department Wi,,False,marion-police-department-wi,approved,[]
,False,23598,4033,Transportation And Utilities,,False,transportation-and-utilities,approved,[]
,False,169,16,Office of Temporary and Disability Assistance,,False,office-of-temporary-and-disability-assistance,approved,[]
,False,31097,21557,Papillion La Vista Community Schools,,False,papillion-la-vista-community-schools,approved,[]
,False,23667,32680,Lake Delton Police Department,,False,lake-delton-police-department,approved,[]
,False,23779,32601,Appleton Area School District,,False,aasd,approved,[]
,False,23795,4881,Douglas County Water and Sewer Authority Board,,False,douglas-county-ga-water-and-sewer,approved,[]
,False,23808,9521,Coconino County Health And Human Services,,False,coconino-county-health-and-human-services,approved,[]
,False,4233,52,California Department of Food and Agriculture,,False,california-department-food-and-agriculture,approved,Agriculture
,False,40768,32092,Barbour County Clerk Office,,False,barbour-county-clerk-office,approved,[]
,False,22392,517,Falmouth Police Department,,False,falmouth-police-department,approved,[]
,False,14478,7355,Bond County Sheriff's Office,,False,bond-county-sheriffs-office-bond-county,approved,[]
,False,31095,7736,Village Of Dolton Clerk,,False,village-of-dolton,approved,[]
,False,10972,10,Defense Manpower Data Center,,False,defense-manpower-data-center,approved,[]
,False,23580,94,Public Works Department,,False,public-works-department,approved,[]
,False,23834,16281,Ruston Police Department,,False,ruston-police-department,approved,[]
,False,23837,15554,Calloway County,,False,calloway-county,approved,[]
,False,190,17,Mayor's Office of Media and Entertainment,,False,mayors-office-of-media-and-entertainment,approved,[]
,False,23830,32246,Fairmont Police Department,,False,fairmont-police-department,approved,[]
,False,37442,7940,Proviso Central Dispatch Center In Hillside,,False,proviso-central-dispatch-center-in-hillside,approved,[]
,False,41681,116,Ohio Department Of Insurance,,False,ohio-department-of-insurance,approved,[]
,False,5207,22204,Hobbs Police Department,,False,hobbs-police-department,approved,Police
,False,24683,6246,Lewiston Police Department,,False,lewiston-police-department,approved,[]
,False,23817,6537,Bend Police Department,,False,bend-police-department,approved,[]
,False,42254,16,New York State Commission On Prosecutorial Conduct,,False,new-york-state-commission-on-prosecutorial-conduct,approved,[]
,False,42594,32320,City of Winfield Municipal Clerk,,False,city-of-winfield-municipal-clerk,approved,[]
,False,23581,94,Information Technology Services,,False,information-technology-services,approved,[]
,False,23668,2032,Greenville County Sheriff's Office,,False,greenville-county-sheriffs-office,approved,[]
,False,23835,8351,Kittitas County Sheriff,,False,kittitas-county-sheriff,approved,[]
,False,23758,145,Department Of Housing Stability,,False,department-of-housing-stability,approved,[]
,False,23853,168,Illinois Department Of Human Rights,,False,illinois-department-of-human-rights,approved,[]
,False,22547,798,Jacksonville State University,,True,jacksonville-state-university-700-pelham-rd-n-jacksonville-al-36265,approved,[]
,False,23833,17033,Police Department,,False,police-department,approved,[]
,False,4058,10,"Equal Employment Opportunity Commission, San Antonio Field Office",,False,equal-employment-opportunity-commission-san-antonio-field-office,approved,[]
,False,23831,32196,City Of Bridgeport Police Department,,False,city-of-bridgeport-police-department,approved,[]
,False,222,8,Somerville Historic Preservation Commission,,False,somerville-historic-preservation-commission,approved,[]
,False,245,8,Office of Strategic Planning and Community Development Annex,,False,office-of-strategic-planning-and-community-development-annex,approved,[]
,False,249,8,"Inspectional Services Division, Building Permits",,False,inspectional-services-division-building-permits,approved,[]
,False,208,54,Washington State Criminal Justice Training Commission,,False,washington-state-criminal-justice-training-commission,approved,[]
,False,23863,7917,Harvey Police Department,,False,harvey-police-department,approved,[]
,False,23838,3855,Dover Police Department,,False,dover-police-department,approved,[]
,False,23931,8670,Cedarburg School District,,False,cedarburg-school-district,approved,[]
,False,376,128,Virginia Commonwealth University,,True,virginia-commonwealth-university,approved,School
,False,179,8,Somerville Housing Authority,,False,somerville-housing-authority,approved,Housing
,False,3969,114,Department of Correction,,True,department-correction,approved,Corrections
,False,23865,10562,Village Clerk’s office,,False,rodriguezymsvflgov,approved,[]
,False,23864,80,Rutland County Sheriff,,False,rutland-county-sheriff,approved,[]
,False,23912,2600,Denton County Elections Administration,,False,elections,approved,[]
,False,23926,5592,Quinnipiac University,,False,quinnipiac-university,approved,[]
,False,23599,343,Technology & Innovation,,False,technology-innovation,approved,[]
,False,503,169,Chicago Police Department,,False,chicago-police-department,approved,Police
,False,17947,33599,"Bureau of Land Management, High Plains, Wyoming",,False,bureau-of-land-management-wy,approved,[]
