abbrev,id,level,name,parent,slug
,409,l,Bentonville,114,bentonville
,410,l,Prince William County,128,prince-william-county
,411,l,Chesterfield County,128,chesterfield-county
,412,l,Loudoun County,128,loudoun-county
,413,l,Henrico County,128,henrico-county
,414,l,Norfolk County,128,norfolk-county
,415,l,Arlington County,128,arlington-county
,416,l,Chesapeake City,154,chesapeake-city
,417,l,Lexington,1,lexington
,418,l,Clay County,34,clay-county
,419,l,Barrington,168,barrington
,420,l,Newtown,53,newtown
,425,l,Hazelton,126,hazelton
,426,l,Ascension Parish,233,ascension-parish
,427,l,Bossier Parish,233,bossier-parish
,428,l,Caddo Parish,233,caddo-parish
,429,l,Calcasieu Parish,233,calcasieu-parish
,430,l,East Baton Rouge Parish,233,east-baton-rouge-parish
,431,l,Jefferson Parish,233,jefferson-parish
,432,l,Lafayette Parish,233,lafayette-parish
,433,l,Livingston Parish,233,livingston-parish
,434,l,Orleans Parish,233,orleans-parish
,435,l,Ouachita Parish,233,ouachita-parish
,436,l,Rapides Parish,233,rapides-parish
,437,l,Saint Tammany Parish,233,saint-tammany-parish
,438,l,Terrebonne Parish,233,terrebonne-parish
,439,l,Accomack County,128,accomack-county
,440,l,Albemarle County,128,albemarle-county
,441,l,Alleghany County,128,alleghany-county
,442,l,Acton,1,acton
,443,l,Acushnet,1,acushnet
,444,l,Adams,1,adams
,445,l,Agawam,1,agawam
,446,l,Alford,1,alford
,447,l,Amesbury,1,amesbury
,448,l,Andover,1,andover
,449,l,Aquinnah,1,aquinnah
,450,l,Arlington,1,arlington
,451,l,Ashburnham,1,ashburnham
,452,l,Ashby,1,ashby
,453,l,Ashfield,1,ashfield
,454,l,Athol,1,athol
,455,l,Attleboro,1,attleboro
,456,l,Auburn,1,auburn
,457,l,Avon,1,avon
,458,l,Ayer,1,ayer
,459,l,Barre,1,barre
,460,l,Becket,1,becket
,461,l,Bedford,1,bedford
,462,l,Belchertown,1,belchertown
,463,l,Bellingham,1,bellingham
,464,l,Berkley,1,berkley
,465,l,Berlin,1,berlin
,466,l,Bernardston,1,bernardston
,467,l,Billerica,1,billerica
,468,l,Blackstone,1,blackstone
,469,l,Blandford,1,blandford
,470,l,Bolton,1,bolton
,471,l,Bourne,1,bourne
,472,l,Boxborough,1,boxborough
,473,l,Boxford,1,boxford
,474,l,Boylston,1,boylston
,475,l,Brewster,1,brewster
,476,l,Bridgewater,1,bridgewater
,477,l,Brimfield,1,brimfield
,478,l,Brookfield,1,brookfield
,479,l,Buckland,1,buckland
,480,l,Canton,1,canton
,481,l,Carlisle,1,carlisle
,482,l,Carver,1,carver
