abbrev,id,level,name,parent,slug,parent_abbrev
,160,l,Indianapolis,152.0,indianapolis,USA
,161,l,Charlotte,153.0,charlotte,USA
,162,l,Ellicott City,154.0,ellicott-city,USA
,163,l,Nashville,155.0,nashville,USA
,164,l,Saint Paul,156.0,saint-paul,USA
,165,l,Helena,157.0,helena,USA
,166,l,Portland,158.0,portland,IN
,167,l,Anniston,159.0,anniston,NC
IL,168,s,Illinois,10.0,illinois,MD
,169,l,Chicago,168.0,chicago,TN
,170,l,Palo Alto,52.0,palo-alto,MN
,171,l,Portland,13.0,portland,MT
,172,l,Boulder,127.0,boulder,OR
,173,l,Salem,158.0,salem,AL
,174,l,Alameda County,52.0,alameda-county,USA
,175,l,West Lafayette,152.0,west-lafayette,IL
,176,l,Mission Viejo,52.0,mission-viejo,CA
,177,l,Woodway,109.0,woodway,ME
,179,l,Syracuse,16.0,syracuse,CO
,180,l,Key Largo,34.0,key-largo,OR
,181,l,Monroe County,34.0,monroe-county,CA
,182,l,Brevard County,34.0,brevard-county,IN
,183,l,Pima County,78.0,pima-county,CA
,184,l,Peoria,168.0,peoria,TX
,185,l,Peoria County,168.0,peoria-county,
,186,l,Maricopa County,78.0,maricopa-county,NY
,187,l,Anaheim,52.0,anaheim,FL
,188,l,Goleta,52.0,goleta,FL
,189,l,Keller,109.0,keller,FL
,190,l,Dallas,109.0,dallas,AZ
,191,l,Glendora,52.0,glendora,IL
,192,l,Kettering,116.0,kettering,IL
,193,l,Snoqualmie,54.0,snoqualmie,AZ
,194,l,Lake County,34.0,lake-county,CA
,195,l,Seminole County,34.0,seminole-county,CA
,196,l,Orange County,34.0,orange-county-fl,TX
,198,l,Jefferson County,116.0,jefferson-co,TX
,199,l,Gadsden,159.0,gadsden,CA
,200,l,Hays County,109.0,hays-county,OH
,201,l,Mesa County,127.0,mesa-county,WA
,202,l,Montgomery County,109.0,montgomery-county,FL
,203,l,Otter Tail County,156.0,otter-tail-county,FL
,204,l,Polk County,34.0,polk-county,FL
,205,l,Lane County,158.0,lane-county,
,206,l,Akron,116.0,akron,OH
,207,l,Buffalo,16.0,buffalo,AL
,208,l,Dayton,116.0,dayton,TX
,209,l,Louisville,147.0,louisville,CO
,210,l,Lancaster,52.0,lancaster,TX
,211,l,Philadelphia,126.0,philadelphia,MN
,212,l,Middlesex County,1.0,middlesex-county,FL
,213,l,Bristol County,1.0,bristol-county,OR
,214,l,Nantucket,1.0,nantucket,OH
,215,l,Plymouth County,1.0,plymouth-county,NY
,216,l,Dukes County,1.0,dukes,OH
,217,l,Norfolk County,1.0,norfolk-county,KY
,218,l,Beverly,1.0,beverly,CA
,219,l,Marlborough,1.0,marlborough,PA
,220,l,Palmer,1.0,palmer,MA
,221,l,Taunton,1.0,taunton,MA
,222,l,Washington Island,146.0,washington-island,MA
,223,l,Upper Darby,126.0,upper-darby,MA
,224,l,Petaluma,52.0,petaluma,MA
,225,l,Fremont,52.0,fremont,MA
,226,l,State College,126.0,state-college,MA
NM,227,s,New Mexico,10.0,new-mexico,MA
ID,228,s,Idaho,10.0,idaho,MA
NJ,229,s,New Jersey,10.0,new-jersey,MA
GA,230,s,Georgia,10.0,georgia,WI
MS,231,s,Mississippi,10.0,mississippi,PA
ND,232,s,North Dakota,10.0,north-dakota,CA
LA,233,s,Louisiana,10.0,louisiana,CA
UT,234,s,Utah,10.0,utah,PA
AK,235,s,Alaska,10.0,alaska,USA
DE,236,s,Delaware,10.0,delaware,USA
,237,l,Canyon County,228.0,canyon-county,USA
,238,l,Brunswick,230.0,brunswick,USA
,239,l,North Andover,1.0,north-andover,USA
,240,l,Pensacola,34.0,pensacola,USA
,241,l,Escambia County,34.0,escambia-county,USA
,242,l,Gilbert,78.0,gilbert,USA
,243,l,Lake Villa,168.0,lake-villa,USA
,244,l,Clackamas County,158.0,clackamas-county,USA
,245,l,Hurst,109.0,hurst,ID
IA,246,s,Iowa,10.0,iowa,GA
HI,247,s,Hawaii,10.0,hawaii,MA
OK,248,s,Oklahoma,10.0,oklahoma,FL
,249,l,Ogden,234.0,ogden,FL
,250,l,Orange County,109.0,orange-county-tx,AZ
,251,l,Everett,54.0,everett,IL
,252,l,Abington,1.0,abington,OR
,253,l,Barnstable,1.0,barnstable,TX
,254,l,Braintree,1.0,braintree,USA
,255,l,Burlington,1.0,burlington,USA
,256,l,Chelmsford,1.0,chelmsford,USA
,257,l,Quincy,1.0,quincy,UT
,258,l,Springfield,1.0,springfield,TX
,259,l,Concord,1.0,concord,WA
,260,l,Danvers,1.0,danvers,MA
,261,l,Fall River,1.0,fall-river,MA
,262,l,Fitchburg,1.0,fitchburg,MA
,263,l,Foxborough,1.0,foxborough,MA
,264,l,Gloucester,1.0,gloucester,MA
,265,l,Haverhill,1.0,haverhill,MA
,266,l,Hingham,1.0,hingham,MA
,267,l,Hull,1.0,hull,MA
,268,l,Leicester,1.0,leicester,MA
,269,l,Longmeadow,1.0,longmeadow,MA
,270,l,Lowell,1.0,lowell,MA
,271,l,Orange County,153.0,orange-county,MA
,272,l,Malden,1.0,malden,MA
,273,l,Mansfield,1.0,mansfield,MA
,274,l,Middleton,1.0,middleton,MA
,275,l,Natick,1.0,natick,MA
,276,l,Peabody,1.0,peabody,MA
,277,l,Pittsfield,1.0,pittsfield,MA
,278,l,Plymouth,1.0,plymouth,MA
,279,l,Randolph,1.0,randolph,NC
,280,l,Reading,1.0,reading,MA
,281,l,Revere,1.0,revere,MA
,282,l,Shrewsbury,1.0,shrewsbury,MA
,283,l,Scarsdale,16.0,scarsdale,MA
