Person,Number of Files Requested,Page Number
"Cornstein, David Department Of State, Ambassador to Hungary (Republic of)",3,9
"Corwin, Jane International Joint Commission, Commissioner",48,9
"Cossa, John G Federal Permitting Improvement Steering Council, DAEO",5,9
"Cox, Christopher C White House Office, Deputy Assistant to President for Legislative Affairs",3,9
"Craft, Kelly K Department Of State, Ambassador To The United Nations General Assembly",4,9
"Crane, David Department Of Energy, Certificate of Divestiture",7,9
"Crane, David Department Of Energy, Under Secretary",3,9
"Crawford, Edward F Department Of State, Ambassador to Ireland",10,9
"Crenshaw, Caroline Securities And Exchange Commission, Commissioner",11,9
"Crenshaw, Caroline Securities And Exchange Commission, Commissioner 2",1,9
"Crocker, Bathsheba N Department Of State, U.S. Representative to Office of United Nations & Other International Organizations in Geneva w/rank of Ambassador",15,10
"Cronin, Claire Department Of State, Ambassador to Ireland",5,10
"Croston, Sean Federal Reserve System Board Of Governors, DAEO",7,10
"Cudahy, Sarah Federal Mediation And Conciliation Service, DAEO",4,10
"Cullen, Thomas Department Of Justice, U.S. Attorney Virginia Western District",10,10
"Currie, Kelley E Department Of State, Ambassador at Large for Women's Global Issues",1,10
"Currie, Kelley E Department Of State, U.S. Representative on Economic & Social Council of the United Nationals w/rank of Ambassador",2,10
"Dabbar, Paul M Department Of Commerce, Deputy Secretary",2,10
"Dabbar, Paul M Department Of Energy, Under Secretary for Science",4,10
"Dalton, Melissa Department Of Defense/Office Of The Secretary, Assistant Secretary for Homeland Defense & Global Security",6,10
"Dalton, Melissa Department Of The Air Force, Under Secretary",5,10
"Dalton, Olivia A White House Office, Deputy Assistant to the President & Principal Deputy Press Secretary",3,10
"Damelin, Fara Federal Communications Commission, Inspector General",3,10
"Daniel, Susan E International Joint Commission, DAEO",10,10
"Day, Ramsey Agency For International Development (Aid), Assistant Administrator for Africa",1,10
"Day, Sharon L Department Of State, Ambassador to Costa Rica (Republic of)",4,10
"Day, Thomas G Postal Regulatory Commission, Commissioner",3,10
"DeCarolis, Joseph Department Of Energy, Administrator, Energy Information Administration",5,10
"DeJoy, Louis U.S. Postal Service, Postmaster General",64,10
