Person,Number of Files Requested,Page Number
"Workman, Thomas E Department Of The Treasury, Member, Financial Stability Oversight Council",10,53
"Worthington, Ross P White House Office, Deputy Assistant to President & Advisor for Policy, Strategy & Speechwriting",6,53
"Wray, Christopher A Department Of Justice, Director, Federal Bureau of Investigation",8,53
"Yellen, Janet L Department Of The Treasury, Governor, European Bank for Reconstruction & Development, Governor, Inter-American Development Bank, Governor, International Bank for Reconstruction & Development, and Governor, International Monetary Fund",1,53
"Yellen, Janet L Department Of The Treasury, Secretary",1,53
"Young, Andrew R Department Of State, Ambassador To Burkina Faso",1,53
"Young, Andrew R Department Of State, Ambassador to Burkina Faso",1,53
"Young, Charles Department Of The Army, General Counsel",1,53
"Young, Christen L White House Office, Deputy Assistant to the President & Deputy Director of the DPC for Health & Veterans Affairs",5,53
"Young, David J Department Of State, Ambassador to Malawi (Republic of)",3,53
"Young, Eugene S Department Of State, Ambassador to Congo (Republic of)",16,53
"Young, Jane E Department Of Justice, U.S. Attorney New Hampshire",4,53
"Young, Joshua J. Department Of State, Certificate of Divestiture",1,53
"Young, Michael G Federal Mine Safety And Health Review Commission, Commissioner 2",1,53
"Young, Stephanie L Office Of The Vice President, Deputy Assistant to the President & Senior Advisor to the Vice President",2,53
"Zachariah, Aswathi Inter-American Foundation, DAEO",9,53
"Zatezalo, David G Department Of Labor, Assistant Secretary for Mine Safety & Health",7,53
"Zerzan, Gregory Department Of Transportation, General Counsel",3,53
"Zobler, Marian L Nuclear Regulatory Commission, DAEO",8,53
"Zuckerman, Adrian Department Of State, Ambassador to Romania",2,53
